"38.1412961932128, -85.6678706831346"
"38.1409152271411, -85.6629057230005"
"38.1411057104256, -85.68070692153"
"38.1302473695693, -85.6808280181186"
"38.1422485996899, -85.6873672339049"
"38.1431057548896, -85.6641166888869"
"38.1386293889389, -85.6752575750414"
"38.1422485996899, -85.683007756714"
"38.1333907396471, -85.6750153818641"
"38.1611143799011, -85.6597037010252"
"38.159224729363, -85.7051939636613"
"38.1401905184658, -85.639619318389"
"38.1417654975058, -85.6882462228452"
"38.097739257265, -85.6719383938142"
"38.136634971, -85.6849846578155"
"38.1855901503392, -85.6032522692631"
"38.1589355182355, -85.7135607460752"
"38.1443354609891, -85.6683468974094"
"38.1595379812759, -85.6975662372624"
"38.1378035737765, -85.7130157604219"
"38.1742489035611, -85.6723320161021"
"38.1156575198525, -85.6776535185237"
"38.1302422619486, -85.675421920734"
"38.2004863185506, -85.6603438627895"
"38.187011495625, -85.6376877468948"
"38.2018365805772, -85.6629333326579"
"38.2074009050976, -85.6679973430267"
"38.0930764113006, -85.6711060008685"
"38.1984342344812, -85.7323334468948"
"38.1995504733162, -85.6591277395"
"38.1998877278017, -85.6627326282372"
"38.2365446077825, -85.7168991701843"
"38.1762291247059, -85.7129971855264"
"38.131976575283, -85.6816556940263"
"38.1410646535114, -85.6651830333266"
"38.1621865029383, -85.496248283137"
"38.2207620583238, -85.7873121228116"
"38.170896660828, -85.6614194585925"
"38.2294652131818, -85.6644408825337"
"38.2365852017402, -85.5596981859034"
"38.2388297086548, -85.7575578077703"
"38.2090159109235, -85.6673201867864"
"38.1855560949776, -85.607257801737"
"38.163930669137, -85.5973014424485"
"38.259586236698, -85.7522685222846"
"38.0893721555445, -85.6702297809535"
"38.2351074423888, -85.6213487336831"
"38.2518470800148, -85.7806562345282"
"38.2445672369696, -85.7205747555749"
"38.1871118032541, -85.7411741188849"
"38.1798254808159, -85.7679532923612"
"38.2237686559554, -85.6287932069482"
"38.1711553294526, -85.6837248448484"
"38.2213411854265, -85.6301664978957"
"38.2290714455964, -85.756042452422"
"38.205243497196, -85.7519611540276"
"38.161442348597, -85.6610801481109"
"38.2105092479428, -85.6699061288354"
"38.2209514683155, -85.5838134273931"
"38.2400809056142, -85.7584091103163"
"38.2107356688421, -85.6634479306316"
"38.1873438694497, -85.6077727875794"
"38.1649429228707, -85.5974731054731"
"38.2561437845563, -85.7514691648425"
"38.0861970957846, -85.6679520807372"
"38.2334219703333, -85.6395448352635"
"38.2508360343048, -85.7701848875794"
"38.2420730489837, -85.7216047203114"
"38.1835646534738, -85.7412376667014"
"38.1745066020537, -85.7671735008685"
"38.2195711037704, -85.6287932008685"
"38.1697876987311, -85.6838875468948"
"38.2196887193723, -85.6300834315527"
"38.2273352646879, -85.7553558008685"
"38.2508153895209, -85.6254990548421"
"38.1398819427808, -85.6558070855264"
"38.2467717200642, -85.7637276008685"
"38.1371717039298, -85.6961820008685"
"38.2494871941053, -85.7879440008685"
"38.13512298753, -85.5791082855264"
"38.2500800730022, -85.6129682008685"
"38.2217114729028, -85.5777826395"
"38.2527782732478, -85.6495777008685"
"38.2092091143751, -85.7156359008685"
"38.218806125221, -85.5396562162106"
"38.2168842533158, -85.5397420468948"
"38.1634566640974, -85.6781387315527"
"38.2495575583239, -85.7867688162106"
"38.2283810417017, -85.5767216008685"
"38.2503098612478, -85.6257565468948"
"38.2465020904225, -85.7637705162106"
"38.2249776408051, -85.5774513326961"
"38.243603121706, -85.5073413146833"
"38.2279529885668, -85.5779608096844"
"38.2955481545028, -85.5548601324212"
"38.218466955465, -85.755888701737"
"38.1592189523962, -85.7095365997384"
"38.1711429848312, -85.8279792296851"
"38.2412856497833, -85.7582847140992"
